HH_ID,CMA,MODE,PWDUR,WEIGHT
1,999,2,1,100.417607740762
2,999,2,2,100.111805957177
3,933,2,1,100.481174883465
4,535,2,2,100.417607740762
5,462,2,2,100.111805957177
6,535,9,9,100.417607740762
7,999,2,5,100.111805957177
8,999,9,9,100.111805957177
9,999,9,9,100.15765171502
10,999,9,9,100.417607740762
11,933,6,5,100.481174883465
12,462,2,3,100.111805957177
13,535,2,2,100.417607740762
14,999,2,2,100.417607740762
15,999,2,1,100.417607740762
16,825,9,9,100.595160125175
17,999,9,9,100.15765171502
18,999,9,9,100.417607740762
19,999,2,1,100.42794720071
20,535,2,2,100.417607740762
21,825,2,5,100.595160125175
22,535,9,9,100.417607740762
23,535,6,5,100.417607740762
24,535,9,9,100.417607740762
25,835,9,9,100.595160125175
26,999,9,9,99.9745842484901
27,933,9,9,100.481174883465
28,462,9,9,100.111805957177
29,999,9,9,100.417607740762
30,462,6,2,100.111805957177
31,999,9,9,100.417607740762
32,535,9,9,100.417607740762
33,462,9,9,100.111805957177
34,999,2,5,100.42794720071
35,999,9,9,100.417607740762
36,999,9,9,100.179169992005
37,999,2,3,100.595160125175
38,999,2,2,100.417607740762
39,535,9,9,100.417607740762
40,535,9,9,100.417607740762
41,999,2,1,101.098005203819
42,535,9,9,100.417607740762
43,999,9,9,100.481174883465
44,999,2,1,100.417607740762
45,999,9,9,100.15765171502
46,825,9,9,100.595160125175
47,535,9,9,100.417607740762
48,535,9,9,100.417607740762
49,999,9,9,100.481174883465
50,462,9,9,100.111805957177
51,535,2,2,100.417607740762
52,999,2,3,100.964470533697
53,825,9,9,100.595160125175
54,999,9,9,100.417607740762
55,999,9,9,100.111805957177
56,999,2,1,100.481174883465
57,462,9,8,100.111805957177
58,999,2,3,100.111805957177
59,535,9,9,100.417607740762
60,825,9,9,100.595160125175
61,535,9,9,100.417607740762
62,999,9,9,100.417607740762
63,535,9,9,100.417607740762
64,999,9,9,100.42794720071
65,999,9,9,100.481174883465
66,825,9,9,100.595160125175
67,825,4,1,100.595160125175
68,999,9,9,100.964470533697
69,999,2,3,100.417607740762
70,933,9,9,100.481174883465
71,999,9,9,100.417607740762
72,933,2,2,100.481174883465
73,999,2,8,100.964470533697
74,462,9,9,100.111805957177
75,999,9,9,100.111805957177
76,535,9,9,100.417607740762
77,462,9,9,100.111805957177
78,999,9,9,100.15765171502
79,999,2,3,100.111805957177
80,999,9,9,100.417607740762
81,999,9,9,100.179169992005
82,999,9,9,100.111805957177
83,999,7,1,100.111805957177
84,999,9,9,100.417607740762
85,462,9,9,100.111805957177
86,999,9,9,100.417607740762
87,999,2,1,100.417607740762
88,999,9,9,100.595160125175
89,933,6,4,100.481174883465
90,933,9,9,100.481174883465
91,999,9,9,100.417607740762
92,999,5,2,100.417607740762
93,999,2,3,100.417607740762
94,999,9,9,100.964470533697
95,999,9,9,100.417607740762
96,933,7,3,100.481174883465
97,462,2,2,100.111805957177
98,462,9,9,100.111805957177
99,999,9,9,100.417607740762
100,999,9,9,100.179169992005
101,999,9,9,100.179169992005
102,999,9,9,100.417607740762
103,535,9,9,100.417607740762
104,825,9,9,100.595160125175
105,999,2,2,100.111805957177
106,462,9,9,100.111805957177
107,535,9,9,100.417607740762
108,999,2,3,100.595160125175
109,999,2,2,100.481174883465
110,535,4,1,100.417607740762
111,535,9,9,100.417607740762
112,535,9,9,100.417607740762
113,535,9,9,100.417607740762
114,535,2,4,100.417607740762
115,933,6,5,100.481174883465
116,462,7,1,100.111805957177
117,999,9,9,99.9745842484901
118,999,9,9,100.417607740762
119,999,2,2,100.111805957177
120,999,9,9,100.417607740762
121,999,9,9,100.42794720071
122,933,2,3,100.481174883465
123,999,9,9,100.417607740762
124,999,2,4,100.417607740762
125,999,4,1,100.481174883465
126,462,9,9,100.111805957177
127,999,2,1,100.111805957177
128,999,9,9,100.417607740762
129,535,9,9,100.417607740762
130,999,9,9,100.481174883465
131,535,9,9,100.417607740762
132,999,9,9,100.481174883465
133,535,9,9,100.417607740762
134,999,9,9,99.9745842484901
135,933,2,1,100.481174883465
136,835,5,5,100.595160125175
137,999,9,9,100.417607740762
138,999,9,9,100.111805957177
139,999,9,9,100.595160125175
140,999,9,9,100.417607740762
141,535,9,9,100.417607740762
142,825,9,9,100.595160125175
143,999,9,9,100.417607740762
144,999,9,9,100.111805957177
145,999,9,9,100.417607740762
146,535,6,5,100.417607740762
147,999,2,2,100.417607740762
148,999,9,9,100.417607740762
149,535,9,9,100.417607740762
150,999,2,2,100.111805957177
151,835,2,3,100.595160125175
152,535,9,9,100.417607740762
153,999,2,3,100.417607740762
154,535,6,5,100.417607740762
155,999,9,9,100.481174883465
156,999,2,2,100.417607740762
157,535,2,3,100.417607740762
158,535,2,3,100.417607740762
159,825,9,9,100.595160125175
160,999,2,1,100.595160125175
161,535,2,2,100.417607740762
162,535,6,4,100.417607740762
163,999,9,8,100.964470533697
164,999,2,1,100.417607740762
165,999,2,2,100.481174883465
166,999,2,1,100.481174883465
167,933,9,9,100.481174883465
168,462,6,5,100.111805957177
169,999,2,3,100.964470533697
170,825,9,9,100.595160125175
171,535,9,9,100.417607740762
172,462,6,3,100.111805957177
173,462,2,4,100.111805957177
174,999,9,9,100.481174883465
175,835,9,9,100.595160125175
176,999,2,2,100.111805957177
177,999,9,9,100.111805957177
178,999,2,4,100.417607740762
