_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
1,2020,July-Sept,1005907,6017884.0,326622,White,M,Aged 35 to 44 years,Not a youth,54,,1.0,Assault & Other crimes against persons,,,,,,1.0,None,None,None,None,None,1
2,2020,July-Sept,1014562,6056669.0,326622,White,M,Aged 35 to 44 years,Not a youth,54,,1.0,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,2
3,2020,Oct-Dec,1029922,6057065.0,326622,Unknown or Legacy,M,Aged 35 to 44 years,Not a youth,54,,1.0,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,3
4,2021,Jan-Mar,1052190,6029059.0,327535,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Harassment/Threatening,,,,,,,None,None,None,None,None,4
5,2021,Jan-Mar,1015512,6040372.0,327535,South Asian,M,Aged 25 to 34 years,Not a youth,XX,,1.0,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,5
6,2021,Apr-June,1019145,6060688.0,327535,South Asian,M,Aged 25 to 34 years,Not a youth,42,,1.0,Assault,,,,,,1.0,None,None,None,None,None,6
7,2021,Jan-Mar,1035445,6053833.0,330778,Black,M,Aged 25 to 34 years,Not a youth,52,,1.0,Assault,,,,,,,None,None,None,None,None,7
8,2021,Jan-Mar,1050464,6063477.0,330778,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1.0,None,None,None,None,None,8
9,2021,Jan-Mar,1045486,6053929.0,330778,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1.0,None,None,None,None,None,9
10,2021,Apr-June,1012287,6004570.0,330778,Black,M,Aged 25 to 34 years,Not a youth,14,,1.0,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,10
11,2021,Apr-June,1056655,6032326.0,330778,Black,M,Aged 25 to 34 years,Not a youth,51,,1.0,FTA/FTC/Compliance Check/Parollee,,,,,,1.0,None,None,None,None,None,11
12,2021,Apr-June,1040382,6054934.0,330778,Black,M,Aged 25 to 34 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,12
13,2021,Apr-June,1039002,6030241.0,330778,Black,M,Aged 25 to 34 years,Not a youth,53,1.0,1.0,Sexual Related Crime,,,,,,1.0,1,1,1,0,0,13
14,2021,Oct-Dec,1022468,6047871.0,328630,Indigenous,M,Aged 45 to 54 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,14
15,2020,Apr-June,1045382,6057058.0,312724,Black,M,Aged 25 to 34 years,Not a youth,53,1.0,1.0,Mischief & Fraud,,,,,,,1,1,1,0,0,15
16,2020,Apr-June,1050824,6033193.0,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,53,,,Mischief & Fraud,,,,,,1.0,None,None,None,None,None,16
17,2020,Apr-June,1015394,6038801.0,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,53,,1.0,Warrant,,,,,,1.0,None,None,None,None,None,17
18,2020,Apr-June,1015501,6022720.0,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,53,,,Mischief & Fraud,,,,,,1.0,None,None,None,None,None,18
19,2020,Apr-June,1032392,6054743.0,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,52,,1.0,Mischief & Fraud,,,,,,1.0,None,None,None,None,None,19
20,2020,Oct-Dec,1031809,6048710.0,312724,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,XX,,,Mischief & Fraud,,,,,,1.0,None,None,None,None,None,20
21,2021,Oct-Dec,1035105,6056470.0,312724,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,53,,1.0,Police Category - Administrative,,,,,,,None,None,None,None,None,21
22,2020,Apr-June,1041209,,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,XX,1.0,,Robbery & Theft,,,,,,,1,0,0,0,0,22
23,2020,Jan-Mar,1035486,6064779.0,324224,Black,M,Aged 45 to 54 years,Not a youth,31,,1.0,Assault & Other crimes against persons,,,,,,1.0,None,None,None,None,None,23
24,2021,Oct-Dec,1024066,6039028.0,302537,White,M,Aged 25 to 34 years,Not a youth,42,,1.0,Assault,,,,,,,None,None,None,None,None,24
25,2020,Jan-Mar,1041111,6046989.0,305813,Black,M,Aged 25 to 34 years,Not a youth,52,,,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,25
26,2020,Oct-Dec,1001752,6051933.0,323720,White,M,Aged 35 to 44 years,Not a youth,51,,1.0,Drug Related,,,,,,,None,None,None,None,None,26
27,2020,July-Sept,1050474,6025215.0,304162,White,M,Aged 35 to 44 years,Not a youth,11,,1.0,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,27
28,2021,Apr-June,1027472,6024849.0,313589,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Weapons,,,,,,,None,None,None,None,None,28
