PP_ID,AGEGRP,EMPIN,HDGREE,WEIGHT
11101,11,1,2,100.417607740762
21101,11,52000,2,100.111805957177
21102,11,17000,3,100.111805957177
31101,11,33000,4,100.481174883465
31102,11,62000,2,100.481174883465
41201,8,96000,88,100.417607740762
61103,5,68000,8,100.417607740762
71101,7,100000,7,100.111805957177
71102,8,90000,7,100.111805957177
81101,9,65000,2,100.111805957177
81102,9,85000,7,100.111805957177
81103,3,9000,2,100.111805957177
81104,3,4000,1,100.111805957177
91102,12,110000,8,100.15765171502
101101,7,63000,8,100.417607740762
101102,5,98000,7,100.417607740762
111101,5,68000,2,100.481174883465
121101,8,49000,5,100.111805957177
121103,3,12000,2,100.111805957177
121104,3,16000,2,100.111805957177
131101,6,61000,5,100.417607740762
131102,5,27000,7,100.417607740762
141101,10,52000,5,100.417607740762
141102,11,89000,3,100.417607740762
151101,5,4000,1,100.417607740762
151102,5,4000,1,100.417607740762
181101,9,10000,5,100.417607740762
191101,4,63000,2,100.42794720071
191102,9,15000,2,100.42794720071
191103,10,35000,2,100.42794720071
201101,10,99000,7,100.417607740762
211101,7,77000,1,100.595160125175
211102,6,38000,5,100.595160125175
221101,10,44000,5,100.417607740762
232201,88,10000,88,100.417607740762
232203,88,11000,88,100.417607740762
241101,12,32000,7,100.417607740762
261102,12,26000,2,99.9745842484901
291103,5,18000,88,100.417607740762
292101,4,1,88,100.417607740762
292102,5,8000,88,100.417607740762
301101,6,35000,5,100.111805957177
311101,9,47000,5,100.417607740762
311102,3,5000,2,100.417607740762
341101,6,59000,7,100.42794720071
371102,7,260000,1,100.595160125175
381101,9,56000,2,100.417607740762
411101,11,73000,5,101.098005203819
441101,12,18000,2,100.417607740762
451101,12,3000,2,100.15765171502
461104,11,82000,7,100.595160125175
461201,5,14000,5,100.595160125175
461202,5,51000,5,100.595160125175
491101,13,15000,3,100.481174883465
511105,11,4000,2,100.417607740762
511201,9,5000,7,100.417607740762
511202,8,62000,7,100.417607740762
521101,5,58000,7,100.964470533697
541101,10,110000,7,100.417607740762
541102,3,5000,1,100.417607740762
561101,7,55000,3,100.481174883465
571101,10,120000,88,100.111805957177
571102,9,15000,88,100.111805957177
571103,4,1000,88,100.111805957177
581101,11,82000,2,100.111805957177
591103,12,47000,88,100.417607740762
591201,11,22000,88,100.417607740762
591202,10,8000,88,100.417607740762
591204,4,17000,88,100.417607740762
601101,6,100000,7,100.595160125175
601102,6,32000,7,100.595160125175
611101,11,26000,8,100.417607740762
631201,88,7000,88,100.417607740762
631202,88,6000,88,100.417607740762
632304,88,40000,88,100.417607740762
651101,6,120000,5,100.481174883465
651102,7,20000,2,100.481174883465
661101,10,200000,7,100.595160125175
661102,8,54000,7,100.595160125175
661103,4,5000,2,100.595160125175
661104,3,3000,2,100.595160125175
671101,10,1,7,100.595160125175
671102,10,897502,7,100.595160125175
671103,4,21000,2,100.595160125175
691101,5,56000,2,100.417607740762
701201,11,59000,88,100.481174883465
701202,9,70000,88,100.481174883465
711101,88,5000,88,100.417607740762
711103,88,17000,88,100.417607740762
721101,10,3000,7,100.481174883465
721103,3,4000,2,100.481174883465
721104,3,1,1,100.481174883465
731101,10,77000,5,100.964470533697
731102,10,14000,6,100.964470533697
731103,4,64000,5,100.964470533697
731104,4,37000,2,100.964470533697
731105,4,22000,2,100.964470533697
741101,5,67000,7,100.111805957177
751101,8,218074,5,100.111805957177
751102,8,110000,2,100.111805957177
761202,4,31000,5,100.417607740762
761203,4,5000,2,100.417607740762
771101,8,46000,8,100.111805957177
771102,8,100000,7,100.111805957177
781101,11,63000,5,100.15765171502
791101,7,7000,5,100.111805957177
791102,7,7000,5,100.111805957177
801101,8,36000,2,100.417607740762
811101,7,120000,2,100.179169992005
811102,6,19000,7,100.179169992005
821101,8,7000,3,100.111805957177
831101,11,40000,2,100.111805957177
841101,12,2000,7,100.417607740762
841102,11,1000,7,100.417607740762
861101,5,51000,5,100.417607740762
861102,5,33000,2,100.417607740762
871101,10,93000,2,100.417607740762
871102,9,7000,2,100.417607740762
881101,12,2000,5,100.595160125175
891101,5,47000,8,100.481174883465
901101,11,76000,7,100.481174883465
901103,4,12000,2,100.481174883465
911101,11,1000,2,100.417607740762
921101,11,32000,5,100.417607740762
921102,11,1000,5,100.417607740762
931101,9,58000,2,100.417607740762
931102,9,120000,7,100.417607740762
931103,3,17000,1,100.417607740762
931104,3,3000,1,100.417607740762
961101,11,21000,1,100.481174883465
961102,6,33000,8,100.481174883465
961103,4,50000,2,100.481174883465
971101,5,79000,3,100.111805957177
971102,5,15000,8,100.111805957177
981103,5,17000,5,100.111805957177
991101,12,1000,2,100.417607740762
991102,4,5000,7,100.417607740762
1021101,13,1,8,100.417607740762
1031101,11,59000,8,100.417607740762
1031102,11,28000,8,100.417607740762
1031103,5,1000,2,100.417607740762
1051101,10,38000,3,100.111805957177
1061103,11,67000,5,100.111805957177
1071101,7,82000,8,100.417607740762
1071102,8,87000,8,100.417607740762
1081101,12,36000,1,100.595160125175
1091101,8,97000,4,100.481174883465
1101101,11,130000,7,100.417607740762
1101102,10,110000,2,100.417607740762
1111101,8,11000,5,100.417607740762
1111102,6,89000,8,100.417607740762
1121101,5,110000,8,100.417607740762
1121102,6,170000,2,100.417607740762
1141101,10,19000,5,100.417607740762
1141102,11,44000,5,100.417607740762
1141103,4,60000,5,100.417607740762
1151101,7,16000,1,100.481174883465
1151102,9,120000,2,100.481174883465
1161101,11,32000,2,100.111805957177
1171101,11,61000,88,99.9745842484901
1171102,11,56000,88,99.9745842484901
1171103,5,21000,88,99.9745842484901
1171104,4,9000,88,99.9745842484901
1181102,7,37000,5,100.417607740762
1191101,6,4000,2,100.111805957177
1191102,5,27000,2,100.111805957177
1211101,4,17000,2,100.42794720071
1211102,6,62000,1,100.42794720071
1221101,11,60000,6,100.481174883465
1221102,11,18000,7,100.481174883465
1241101,12,60000,5,100.417607740762
1241102,11,44000,1,100.417607740762
1251101,11,140000,4,100.481174883465
1251102,10,3000,2,100.481174883465
1251103,4,66000,2,100.481174883465
1261101,11,27000,3,100.111805957177
1271101,10,47000,3,100.111805957177
1281101,12,-7000,1,100.417607740762
1281102,12,-2000,2,100.417607740762
1291101,8,84000,5,100.417607740762
1301101,12,81000,2,100.481174883465
1311101,6,96000,8,100.417607740762
1331101,10,71000,1,100.417607740762
1351101,9,15000,88,100.481174883465
1351102,9,12000,88,100.481174883465
1351105,3,1000,88,100.481174883465
1361101,10,4000,2,100.595160125175
1361102,9,15000,1,100.595160125175
1381101,11,11000,5,100.111805957177
1381102,11,18000,5,100.111805957177
1391101,8,77000,4,100.595160125175
1401105,4,11000,88,100.417607740762
1402201,12,6000,88,100.417607740762
1402202,11,37000,88,100.417607740762
1402203,5,20000,88,100.417607740762
1402204,4,27000,88,100.417607740762
1421101,11,897502,7,100.595160125175
1421102,11,19000,7,100.595160125175
1431101,12,-3000,2,100.417607740762
1441101,11,26000,3,100.111805957177
1441102,6,60000,8,100.111805957177
1441103,11,130000,5,100.111805957177
1461101,8,59000,7,100.417607740762
1471101,6,44000,5,100.417607740762
1481101,12,1,1,100.417607740762
1501101,7,14000,3,100.111805957177
1511101,10,130000,4,100.595160125175
1511102,9,1000,2,100.595160125175
1511103,3,1000,2,100.595160125175
1521101,6,94000,7,100.417607740762
1531101,5,61000,5,100.417607740762
1531102,5,64000,5,100.417607740762
1541101,12,100000,5,100.417607740762
1551101,11,-4000,8,100.481174883465
1551102,11,24000,7,100.481174883465
1561201,88,19000,88,100.417607740762
1561203,88,11000,88,100.417607740762
1562305,88,32000,88,100.417607740762
1571101,8,100000,5,100.417607740762
1571104,7,29000,8,100.417607740762
1581101,11,38000,7,100.417607740762
1581102,10,21000,7,100.417607740762
1581103,6,33000,7,100.417607740762
1601101,6,2000,3,100.595160125175
1611101,9,140000,7,100.417607740762
1611102,10,72000,7,100.417607740762
1611103,3,3000,1,100.417607740762
1621101,5,9000,5,100.417607740762
1621102,6,2000,1,100.417607740762
1631101,11,23000,4,100.964470533697
1631102,10,33000,4,100.964470533697
1631103,5,16000,5,100.964470533697
1631104,5,26000,2,100.964470533697
1641101,7,5000,7,100.417607740762
1641102,6,170000,5,100.417607740762
1651101,4,3000,2,100.481174883465
1651102,3,6000,1,100.481174883465
1651103,9,23000,1,100.481174883465
1651104,10,40000,2,100.481174883465
1661101,9,60000,6,100.481174883465
1661102,9,120000,2,100.481174883465
1661103,3,22000,2,100.481174883465
1681101,9,78000,7,100.111805957177
1681102,3,6000,2,100.111805957177
1691102,8,4000,2,100.964470533697
1701101,6,58000,2,100.595160125175
1701102,9,8000,2,100.595160125175
1711101,5,18000,2,100.417607740762
1721101,11,21000,1,100.111805957177
1721102,11,46000,4,100.111805957177
1731101,6,57000,3,100.111805957177
1751101,6,61000,5,100.595160125175
1761101,8,87000,3,100.111805957177
1761102,7,68000,3,100.111805957177
1781101,8,63000,2,100.417607740762
1781102,9,6000,2,100.417607740762
1791101,11,81000,3,100.595160125175
1791102,10,16000,5,100.595160125175
1791103,4,16000,2,100.595160125175
1801101,9,44000,3,100.111805957177
1801102,9,21000,1,100.111805957177
1801103,4,19000,5,100.111805957177
1801104,3,11000,2,100.111805957177
1811101,5,13000,7,100.417607740762
1811102,7,90000,4,100.417607740762
1821101,12,-50000,3,100.417607740762
1821102,9,40000,5,100.417607740762
1841101,10,85000,7,100.111805957177
1841102,4,2000,5,100.111805957177
1851101,11,1,5,100.481174883465
1861201,88,38000,1,100.481174883465
1871101,11,21000,5,100.111805957177
1871102,11,1,2,100.111805957177
1881101,12,1000,4,100.111805957177
1891101,88,55000,5,100.417607740762
1891102,88,40000,2,100.417607740762
1901101,7,55000,8,100.111805957177
1901102,7,40000,8,100.111805957177
1911101,8,95000,7,100.964470533697
1921101,9,18000,5,100.111805957177
1931101,12,5000,7,100.417607740762
1941101,11,24000,1,100.42794720071
1941102,11,55000,5,100.42794720071
1951102,6,17000,2,100.111805957177
1971101,4,8000,5,100.964470533697
1981101,6,18000,8,100.417607740762
1981102,6,34000,7,100.417607740762
1991101,11,57000,2,100.481174883465
2011101,7,40000,5,100.111805957177
2011102,9,7000,6,100.111805957177
2021101,6,120000,5,100.595160125175
2021102,6,28000,7,100.595160125175
2051101,88,67000,5,100.417607740762
2051102,88,93000,5,100.417607740762
2051204,88,22000,5,100.417607740762
2051205,88,2000,5,100.417607740762
2061101,10,54000,5,100.417607740762
2061102,10,36000,5,100.417607740762
2081101,11,39000,1,100.417607740762
2081102,11,14000,1,100.417607740762
2101101,9,44000,88,100.111805957177
2101102,9,120000,88,100.111805957177
2101103,3,7000,88,100.111805957177
2111101,10,60000,1,100.111805957177
2111103,9,31000,1,100.111805957177
2121101,8,110000,7,100.417607740762
2121102,9,110000,8,100.417607740762
2131101,5,65000,5,100.111805957177
2131102,4,62000,7,100.111805957177
2151101,7,91000,7,100.417607740762
2161101,88,62000,88,100.595160125175
2161102,88,22000,88,100.595160125175
2161205,88,77000,88,100.595160125175
2171201,7,4000,5,100.111805957177
2171202,7,84000,4,100.111805957177
2191101,88,91000,88,100.595160125175
2191102,88,130000,88,100.595160125175
2191103,88,7000,88,100.595160125175
2191205,88,32000,88,100.595160125175
2201101,12,1000,2,100.595160125175
2211101,88,55000,88,100.111805957177
2221101,10,22000,2,100.595160125175
2221104,5,45000,2,100.595160125175
2221105,4,17000,2,100.595160125175
2231101,6,140000,7,100.417607740762
2231102,6,14000,5,100.417607740762
2241101,4,15000,7,100.111805957177
2251101,8,180000,7,100.595160125175
2251102,8,76000,7,100.595160125175
2271101,11,3000,7,100.417607740762
2271102,12,1000,3,100.417607740762
2281101,11,170000,2,100.417607740762
2291101,12,40000,2,100.481174883465
2291102,12,14000,5,100.481174883465
2301101,8,51000,2,100.595160125175
2311101,88,1000,2,101.098005203819
2311102,88,150000,5,101.098005203819
2321103,5,40000,7,100.481174883465
2331101,88,91000,4,100.595160125175
2331202,88,120000,4,100.595160125175
2331203,88,64000,2,100.595160125175
2331204,88,17000,2,100.595160125175
2331205,88,6000,2,100.595160125175
2351101,5,42000,7,100.595160125175
2351102,5,54000,5,100.595160125175
2361101,11,327975,1,100.15765171502
2361102,6,8000,2,100.15765171502
2371101,10,180000,2,100.481174883465
2371102,11,56000,5,100.481174883465
2381101,11,72000,8,100.111805957177
2401101,13,26000,2,100.111805957177
2401102,6,13000,3,100.111805957177
2411101,9,93000,5,100.417607740762
2411102,9,57000,2,100.417607740762
2421101,12,1000,2,100.111805957177
2431101,11,2000,2,100.111805957177
2441101,7,110000,2,100.595160125175
2461101,8,-5000,8,100.417607740762
2461102,8,14000,7,100.417607740762
2471101,10,68000,2,100.417607740762
2471102,11,42000,2,100.417607740762
2471103,4,9000,2,100.417607740762
2471104,3,21000,1,100.417607740762
2481101,88,41000,4,100.522378089514
2481102,88,46000,4,100.522378089514
2491101,5,54000,7,100.111805957177
2501101,12,1,2,100.42794720071
2501102,12,34000,2,100.42794720071
2511101,4,7000,5,100.481174883465
2521101,10,61000,7,100.595160125175
2521102,10,28000,3,100.595160125175
2521103,4,48000,5,100.595160125175
2521104,4,11000,5,100.595160125175
2531101,5,58000,7,100.595160125175
2531102,5,65000,7,100.595160125175
2541101,7,27000,6,100.417607740762
2541102,8,120000,6,100.417607740762
2551101,11,69000,3,100.111805957177
2561101,7,86000,8,100.417607740762
2561102,8,67000,5,100.417607740762
2571101,7,63000,2,100.481174883465
