PUMFID,REGION,PRV,LUC_RST,ADLTDUR,CHLDDUR,CIVICDUR,FREEDUR,HELPDUR,HSWKDUR,LEISDUR,MEALSDUR,MEDIADUR,PDWKDUR,PERSDUR,SCHLDUR,SHOPDUR,SLEEPDUR,SLEEP1D,SLEEP1S,SLEEP2D,SLEEP2S,SOCDUR,SPRTSDUR,TRANSDUR,OTHDUR
1000,5,59,1,60,0,0,0,60,330,60,120,150,0,120,0,90,390,300,0,330,2230,0,60,20,0
1001,5,59,1,0,0,0,0,0,560,0,50,240,0,50,120,0,345,9996,9996,360,2215,75,0,0,0
1002,4,48,1,0,0,0,0,0,580,0,120,0,110,60,0,0,570,570,2100,570,2100,0,0,110,0
1003,1,11,3,0,0,0,0,0,65,0,0,420,0,40,0,125,790,785,2305,485,2300,0,0,20,0
1004,3,35,1,0,615,0,0,0,95,0,95,120,0,5,0,0,510,450,0,480,2300,0,0,0,0
1005,5,59,1,0,0,390,0,0,120,0,225,0,0,105,0,0,405,375,15,365,2345,135,60,240,0
1006,2,24,1,0,0,0,0,0,95,0,45,570,0,60,0,70,540,540,100,480,100,60,0,40,0
1007,2,24,1,0,0,0,0,0,60,0,195,30,0,75,0,0,840,600,2100,540,1900,120,120,0,0
1008,5,59,1,0,0,0,110,0,215,215,70,380,0,30,0,0,420,390,2300,420,2230,0,0,20,0
1009,4,48,1,0,240,0,115,0,60,0,60,0,345,0,5,0,570,9996,9996,570,2100,0,45,185,0
1010,3,35,1,0,685,0,0,0,0,0,90,0,0,0,0,0,575,525,2230,480,2140,90,0,0,0
1011,4,46,1,0,0,0,0,0,120,0,60,300,420,0,0,0,540,540,2300,540,2300,0,0,0,0
1012,3,35,1,0,0,0,0,0,120,0,30,240,600,0,0,0,450,420,2300,450,2230,0,0,120,0
1013,3,35,1,0,0,0,0,0,25,0,60,0,525,95,0,30,405,420,2200,480,2215,300,0,115,0
1014,5,59,1,0,0,0,0,0,55,0,90,0,665,40,0,50,540,480,2200,520,2100,0,0,20,0
1015,3,35,1,0,0,0,0,0,60,0,140,245,425,0,0,0,570,540,2330,480,0,0,0,0,0
1016,3,35,1,0,0,0,0,0,105,0,75,225,0,225,0,45,570,555,2230,345,2215,195,0,15,0
1017,3,35,1,0,0,0,0,0,0,0,180,360,0,85,0,180,515,600,2300,215,25,0,120,0,0
1018,4,47,1,90,0,30,0,0,0,0,85,0,680,90,0,0,465,390,2300,375,2315,0,0,90,0
1019,4,48,1,0,0,0,0,0,0,0,60,60,630,0,0,0,690,710,2210,420,2230,0,0,0,0
1020,5,59,1,0,0,0,0,0,585,0,30,120,0,25,0,0,400,495,2215,510,20,280,0,100,0
1021,2,24,1,0,240,0,0,0,135,0,120,60,450,60,0,0,375,375,2300,375,2300,0,0,105,0
1022,3,35,1,0,0,0,0,0,0,0,70,70,0,140,0,140,665,570,2200,600,2025,355,0,280,0
1023,3,35,1,0,0,0,0,60,0,180,0,300,0,0,0,0,660,600,2200,420,2300,240,0,180,0
1024,2,24,2,0,0,0,0,0,210,0,30,380,0,30,0,70,660,540,2300,600,2200,0,60,10,0
1025,4,48,1,0,0,0,0,0,210,0,240,270,0,60,0,90,480,480,2200,450,2200,90,0,30,0
1026,2,24,1,0,0,0,0,0,45,0,20,90,595,120,0,0,570,530,2140,510,2145,0,0,40,0
1027,3,35,1,0,0,0,250,0,35,435,30,0,0,120,0,0,405,540,2230,495,45,165,0,480,0
1028,2,24,1,0,60,0,0,75,0,0,180,0,0,30,0,0,435,315,245,390,130,660,0,0,0
