Date/Time,Mean Temp (C),Mean Temp (F)
2024-01-01,-2.6,27.32
2024-01-02,-1,30.2
2024-01-03,1,33.8
2024-01-04,-2.7,27.14
2024-01-05,-1.8,28.76
2024-01-06,-1.3,29.66
2024-01-07,-2.7,27.14
2024-01-08,1.3,34.34
2024-01-09,3.4,38.12
2024-01-10,3,37.4
2024-01-11,1,33.8
2024-01-12,1.8,35.24
2024-01-13,0.6,33.08
2024-01-14,-8,17.6
2024-01-15,-11,12.2
2024-01-16,-9.7,14.54
2024-01-17,-12,10.4
2024-01-18,-6.2,20.84
2024-01-19,-11,12.2
2024-01-20,-11.6,11.12
2024-01-21,-6.8,19.76
2024-01-22,-4.4,24.08
2024-01-23,0.2,32.36
2024-01-24,1.1,33.98
2024-01-25,2.3,36.14
2024-01-26,2.7,36.86
2024-01-27,2,35.6
2024-01-28,1.8,35.24
2024-01-29,1,33.8
2024-01-30,0.9,33.62
2024-01-31,3.3,37.94
2024-02-01,3.3,37.94
2024-02-02,0.1,32.18
2024-02-03,-0.9,30.38
2024-02-04,-1.3,29.66
2024-02-05,0.2,32.36
2024-02-06,-0.4,31.28
2024-02-07,1,33.8
2024-02-08,3.1,37.58
2024-02-09,8.9,48.02
2024-02-10,6.2,43.16
2024-02-11,1.7,35.06
2024-02-12,1.2,34.16
2024-02-13,-0.2,31.64
2024-02-14,-4.2,24.44
2024-02-15,-2.8,26.96
2024-02-16,-2.8,26.96
2024-02-17,-6.4,20.48
2024-02-18,-3.6,25.52
2024-02-19,-6.7,19.94
2024-02-20,-2.7,27.14
2024-02-21,3.6,38.48
2024-02-22,5.7,42.26
2024-02-23,1.3,34.34
2024-02-24,-8.5,16.7
2024-02-25,-0.6,30.92
2024-02-26,3.8,38.84
2024-02-27,4.9,40.82
2024-02-28,5.4,41.72
2024-02-29,-4.7,23.54
2024-03-01,2.5,36.5
2024-03-02,5.5,41.9
2024-03-03,6.6,43.88
2024-03-04,10.1,50.18
2024-03-05,10.7,51.26
2024-03-06,5.6,42.08
2024-03-07,5.7,42.26
2024-03-08,5.6,42.08
2024-03-09,5.8,42.44
2024-03-10,0.8,33.44
2024-03-11,3.5,38.3
2024-03-12,6.3,43.34
2024-03-13,12.8,55.04
2024-03-14,6.9,44.42
2024-03-15,6.2,43.16
2024-03-16,4.4,39.92
2024-03-17,2.3,36.14
2024-03-18,0.1,32.18
2024-03-19,-0.4,31.28
2024-03-20,-2.2,28.04
2024-03-21,-4.7,23.54
2024-03-22,-5.8,21.56
2024-03-23,-2.9,26.78
2024-03-24,-3.6,25.52
2024-03-25,4.4,39.92
2024-03-26,7.6,45.68
2024-03-27,6.4,43.52
2024-03-28,4.4,39.92
2024-03-29,2.4,36.32
2024-03-30,1.4,34.52
2024-03-31,6,42.8
2024-04-01,6.5,43.7
2024-04-02,6.2,43.16
2024-04-03,3.8,38.84
2024-04-04,1.8,35.24
2024-04-05,3.2,37.76
2024-04-06,8.1,46.58
2024-04-07,8.8,47.84
2024-04-08,8.9,48.02
2024-04-09,11.6,52.88
2024-04-10,13.6,56.48
2024-04-11,11.3,52.34
2024-04-12,8.6,47.48
